fw	class	nMethods	nPorted
ProChannel	OZRecordingNode	34	0
ProCore	PCBlend	34	0
Ozone	non-virtual thunk to OZMaterialFinishLayer	34	0
Ozone	OZProjectPanelState	34	0
Ozone	OZSharePanelAccessoryController	34	0
Ozone	OZFxPlugTemporalImageHandler	34	0
Ozone	OZDFRTextAppearanceViewController	34	0
Ozone	OZMoCurveEditorAppDelegate	34	0
Ozone	OZLibraryTopPaneEntry	34	0
Flexo	FFCaptionFormatDefaultValues	34	0
Flexo	FFLibraryCacheMigrater	34	0
Flexo	FFLibraryRepairTask	34	0
Flexo	FFMediaState	34	0
Flexo	FFPixelBuffer	34	0
Flexo	NSCoder	34	0
Flexo	FFHeXFormEffect	34	0
Flexo	FFTrackerShapeMask	34	0
Flexo	FFSemanticMaskOSC	34	0
Flexo	FFAnalyzeAndOptimizeViewController	34	0
Flexo	FFAudioComponentsConfigManager	34	0
Flexo	FFConsumerProjectSettingsModule	34	0
Flexo	FFEventsDetailModule	34	0
Flexo	FFOrganizerDataItem	34	0
Flexo	FFSpeedEditorViewModule	34	0
Flexo	FFTrackingEditorLayer	34	0
Flexo	FFXMLImportOptions	34	0
ProChannel	OZChannel2DOverRange	33	0
ProChannel	OZChannelScaleOverRange	33	0
